,Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar,Label(Ultra),Label(Damage),Label(Distance),Label(Lidar)
0,0.0,0.07,46.0,8.0,1.0,6.0,1.03145647,-33667.09766,-578.1172706,104.52604,0.0,0.0,1.0,1.0
1,0.0,0.08,48.0,10.0,1.0,0.0,4.106703281,-12154.74512,-690.7599601,109.23309,0.0,0.0,1.0,1.0
2,0.0,0.13,20.0,2.0,0.0,6.0,9999.900391,-0.016541602,-513.6604258,70.66412,1.0,1.0,1.0,1.0
3,0.0,0.28,41.0,3.0,1.0,2.0,1.887543797,-34719.69531,-558.1442444,100.37091,0.0,0.0,1.0,1.0
4,0.0,0.34,41.0,5.0,0.0,6.0,9999.900391,-8580.50293,-792.3418487,109.17676,1.0,1.0,0.0,1.0
5,0.0,0.43,41.0,0.0,1.0,6.0,9999.900391,-2178.506821,-498.0903501,57.104492,1.0,1.0,1.0,0.0
6,0.0,0.44,26.0,10.0,1.0,5.0,1.987146616,-16468.22119,-596.1767628,105.040375,0.0,0.0,1.0,1.0
7,0.0,0.46,49.0,2.0,0.0,4.0,9999.900391,-1161.849625,-475.2226318,53.164215,1.0,1.0,1.0,0.0
8,0.0,0.51,20.0,7.0,1.0,4.0,9999.900391,-12415.33643,-648.4507885,109.51689,1.0,0.0,1.0,1.0
9,0.0,0.56,30.0,4.0,0.0,6.0,3.758131981,-17596.02148,-537.8134918,99.95661,0.0,0.0,1.0,1.0
10,0.0,0.61,49.0,3.0,1.0,1.0,9999.900391,-20625.00195,-554.5133905,100.13125,1.0,0.0,1.0,1.0
11,0.0,0.76,20.0,8.0,0.0,6.0,9999.900391,-9697.227051,-671.4345423,109.330345,1.0,1.0,1.0,1.0
12,0.0,0.87,24.0,0.0,0.0,2.0,9999.900391,-1.963384271,-489.1346296,53.674366,1.0,1.0,1.0,0.0
13,0.0,0.87,29.0,1.0,1.0,1.0,9999.900391,-1105.133026,-499.2768736,57.80225,1.0,1.0,1.0,0.0
14,0.0,0.88,33.0,0.0,0.0,2.0,9999.900391,-1176.880005,-475.5015388,54.479973,1.0,1.0,1.0,0.0
15,0.0,0.91,32.0,4.0,0.0,3.0,9999.900391,-1182.702316,-474.2717644,53.58791,1.0,1.0,1.0,0.0
16,0.0,0.94,21.0,1.0,1.0,6.0,9999.900391,-0.060770378,-534.9810425,99.1751,1.0,1.0,1.0,1.0
17,0.0,0.94,38.0,3.0,0.0,5.0,9999.900391,-5247.85675,-476.0987473,53.393806,1.0,1.0,1.0,0.0
